,,,,,
,,,,,
State,X,Y,Date,Report ID,Description
,-86.5045,34.32279,8/1/2012,39383, Kayaker has rocks thrown and observes the culprit near Union Grove
,-86.56954,34.47091,3/1/2013,40417, Nighttime encounters close to home near Morgan
,-86.88621,34.29511,1/1/2013,40912, Deer hunter hears then sees large hair-covered biped near the Morgan County line
,-86.37698,32.48322,10/1/2013,42939, Late afternoon sighting by a bow hunter in his tree stand south of Clanton
,-86.98473,33.55153,10/1/2013,43689, Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham
,-85.9793,32.91874,5/20/1905,44487, Memory told of a close dalylight observation outside Alexander City
,-87.6942,33.37095,4/1/2014,44849, Sightings at night in the same area off Bone Camp Road near Northport
,-85.19265,31.651,5/6/1905,44986," Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville"
,-86.96416,34.00806,6/1/2014,45296, Motorist observes a Bigfoot chasing a deer at night near Bremen
,-85.22781,34.14117,6/1/2014,45464, Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff
,-85.21574,31.23374,9/1/2014,46746, Nighttime sighting by a motorist west of Newville
,-85.7944,31.53475,1/1/2013,47975, Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton
,-92.34083,34.55056,6/20/1905,186, Two boys are chased by sasquatch
,-92.38222,36.19444,5/25/1905,1636, Teenager has sighting near Ozark National Forest
,-92.385,36.33528,5/1/1995,1637, Backyard sighting near Mountain Home. 
,-93,34.08,10/1/1996,1640, Nightime sighting by motorists on Hwy 7 North
,-93.1,34.25,10/1/1998,1641," From top of hill, hunter observes bipedal creature following a fence row"
,-94.3643,33.76986,8/1/1969,1944, Family has multiple encounters with white bigfoot creature
,-91.735,34.787,10/1/1943,2494, Bus driver encounters ape like creature during an unscheduled stop
,-90.51056,36.12083,1/1/1988,2774, Large bipedal animal observes couple parking behind school gymnasium
,-92.03389,33.82111,7/1/2001,2931," Daylight sighting outside rural home in small community of Herbine, south of Rison"
,-93.83426,35.9975,6/1/1970,2957, Youths riding in back of pick-up have close observation of large biped crossing road
,-93.15208,35.42097,11/1/1998,3226, Man finds 3-toed prints & wife has sighting
,-93.20389,33.88861,4/1/1984,3519, Man working in wooded area sees bipedal animal standing on railroad tracks
,-93.886,33.26666,1/1/2000,4090, Sighting in wheat field near Fouke
,-91.1125,36.19791,5/30/1905,4093, Daytime sighting between Pocahontas and Imboden
,-92.58667,34.56444,10/1/1994,4094, Late night encounter near Benton
,-91.87,36.37111,3/1/1997,5228, Motorist has nighttime sighting of bipedal animal at roadside
,-94.23417,36.20611,10/1/2002,5316, Daytime sighting by hiker near Spring Creek. 
,-94.45417,34.70694,6/20/1905,5607, Driver narrowly misses creature darting across mountainous stretch of highway
,-94.44694,36.18333,10/1/1981,6178, Motorist crossing a bridge sees sasquatch digging in the dirt below 
,-91.45889,35.64861,11/1/1999,6932, Duck hunter observes apelike creature across White River
,-93.94583,36.34167,6/16/1905,7045, Man riding 4-wheeler observes a bigfoot reaching into a tree
,-91.08056,34.88111,5/14/1905,7234, Daylight sighting by two sisters near their farm in the early 1960s
,-93.13361,35.27833,8/1/2003,7815, Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree
,-93.9475,33.18639,2/1/2000,7971, Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke. 
,-92.40778,34.53167,3/1/2004,8420, Early morning motorist driving to work sees bipedal animal running through field
,-94.356,35.09306,7/1/1988,8527," Man has extraordinary, close encounter while fishing near Huntington"
,-91.27056,33.7985,5/1/2001,8913, Late night sighting by motorist
,-93.74,36.41,7/1/1994,9507, Roadside sighting near Eureka Springs 
,-91.51306,35.44944,7/1/1986,9753, Animal peers into youngster's bedroom window
,-92.61493,33.14663,11/1/2002,10913, Squirrel Hunter has encounter south of El Dorado
,-92.12,34.87,5/28/1905,10919, Youth has sighting from his backyard on Air Force Base
,-93.75723,36.31519,6/3/1905,11430, Two young men have a sighting while spelunking near Huntsville. 
,-92.64066,33.26462,5/1/2005,11632, 4' - 5.5' upright animal seen crossing dead-end road.
,-93.162,34.285,12/1/2005,13211, Early morning sighting by resident along Highway 7 near Bismarck.
,-93.75313,35.34572,6/1/1986,13718, Man tells of two-legged animal crossing road in front of his car east of Paris
,-90.32,35.0194,6/1/1980,13983, Possible sighting by fisherman at Blue Lake.
,-94.3745,34.369,10/1/2004,16696, Dusk sighting and vocalizations around property near Cove
,-93.07654,34.44652,9/1/1992,24254, Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamil
,-93.89135,33.14759,11/1/1996,26100, Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River 
,-94.229,35.36335,9/1/1985,27482, Man recalls incident while camping as a teenager near Cedarville
,-92.63179,36.29871,1/1/2004,27948, Motorist has nighttime sighting on a mountain road north of Flippin
,-92.75093,34.73147,11/1/2010,29417, Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area
,-91.22115,33.26855,7/1/2012,36178, Motorist has nighttime sighting near Lake Village
,-93.98622,33.33171,9/1/2012,36498, Pre-dawn sighting on a rural road near Fouke
,-92.52505,36.14065,12/1/2012,38015, Motorist observes three bigfoots crossing before him at night east of Harrison
,-91.52025,36.33205,1/1/2008,40020, Man has a close daytime encounter with a probable Bigfoot family outside Hardy
,-92.3575,34.86535,12/1/2012,40101, Motorist views large bipedal animal squatting at night beside I-40 near Marche.
,-92.30614,36.38605,2/1/2009,41827, Motorist has close encounter on Mallard Point Road near Lake Norfork
,-91.46231,35.703,11/1/2011,46380," Mother & daughter have unusual, close-up encounter on the road at night near Newark"
,-110.1835,31.99003,7/1/1977,440, A daylight sighting report by an ex soldier
,-110.8403,34.90831,12/1/2000,3482," Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow"
,-109.4276,36.09081,6/1/2001,6552, Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument
,-111.5,34.4,12/1/1983,7495," Night time road crossing near Strawberry, Arizona"
,-109.3191,33.6247,9/1/1993,7566, Bow hunter has daylight sighting near Alpine.
,-109.29,36.54165,11/1/1981,8685, Morning sighting in the Lukachukai Mountains of northeast Arizona
,-111.938,35.656,7/1/1990,11514, Evening sighting by motorists north of Flagstaff.
,-109.64,34.325,10/1/2006,16580, Afternoon road-crossing sighting by motorist on RT 61 near Concho
,-109.675,32.815,1/1/2007,17448, A close range road crossing on a foggy morning near Safford
,-109.44,34.6,2/1/2007,17804, Late afternoon road crossing sighting by motorist west of Springerville.
,-111.69,33.85,1990's,18723," Late night multi-witness, road-crossing sighting near Bartlett Lake."
,-110.4298,33.99989,10/1/2006,19339, Late afternoon road crossing near Cibecue (Fort Apache Reservation)
,-112.6432,33.3785,4/1/2004,23136, Early morning roadside sighting of tall gray creature near Buckeye 
,-111.1367,34.28939,11/1/2006,23358, Late night road side sighting near Tonto Creek
,-111.8634,35.241,12/1/1973,24405, Man tells of his scary encounter while traveling Route 66 in a snow storm
,-110.165,34.1,3/1/2010,27495, Afternoon sighting by a commuter south of Show Low
,-112.5421,34.55154,8/1/1981,28946, Army Vet recalls daylight sighting near Prescott
,-110,34,5/1/2011,29358, Brief daylight sighting within the city limits of Show Low
,-112.73,32.95,8/1/1992,42364, Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback
,-110.11,34.285,4/1/2014,47536, Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.
,-119.6436,37.35944,10/1/1988,83, Early dawn sighting by hunters near Bass Lake
,-119.9833,38.93333,6/1/2000,147, Sound reports from resident in South Lake Tahoe
,-120.0914,38.9575,9/1/2000,353, Night sighting by two motorists near Lake Tahoe
,-124.1625,40.80222,1957 or 58,528, Three children have daytime sighting near Eureka
,-119.836,38.28085,11/1/1997,615," Sighting by woman in Eagle Meadow, above Strawberry"
,-121.9139,40.33556,November 1968 or 69,849, Girl has daytime sighting near Payne's Creek
,-119.2119,37.23389,12/1/1997,865, Two 4-wheelers have night sighting above Huntington Lake
,-119.9065,38.17677,"June 1994,1995",868, Campers have sighting above Pinecrest
,-120.6781,41.41,7/1/1974,875, Man has sighting near Alturas
,-120.205,38.93,7/1/2000,913, Hikers see creature in Desolation Wilderness
,-119.9833,38.93333,4/1/1996,919, Car passenger has nighttime sighting near Lake Tahoe
,-120.1358,38.86,4/1/1993,1055, Two hikers have morning sighting in the Desolation Wilderness
,-118.9975,37.35861,10/1/1995,1068, Two fisherman have daytime sighting above Huntington Lake
,-120.1877,38.06615,August 1978/79,1090, Girl has daytime sighting near Twain Harte
,-118.8489,36.10222,8/1/1955,1229, Boy Scout has late night sighting above Porterville
,-119.9811,38.19753,7/1/1978,1301, Three witnesses have daytime sighting near Strawberry
,-122.4306,41.45833,3/1/1999,1391, Man has late night sighting north of Redding
,-122.3839,41.42806,5/19/1905,1473, Family has early evening sighting near Weed
,-119.2642,38.04806,7/1/1977,1510, Brothers have early evening sighting near Lee Vining
,-122.7325,40.63556,1978 or 79,1653, Husband and wife have late night sighting on Highway 299
,-120.2339,38.03898,10/1/1983,1919, Friends have night sighting above Sonora
,-118.1303,36.05278,May 1987-88,2794, Woman has early evening sighting near Kennedy Meadows
,-119.8633,38.26661,6/1/1993,2886, A Wildlife Biologist observes a large upright walking animal near Pinecrest
,-122.9958,41.82417,8/1/1944,2896, Sister and brother see 3 creatures near Yreka
,-123.1317,41.3657,7/1/2000,2928, Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge
,-122.5833,38.25583,6/13/1905,3169, Man sees creature crossing road near Petaluma
,-120.8908,39.21278,6/1/1978,3421, Family has unusual experience outside Grass Valley
,-119.2569,37.91111,8/1/1998,3672," Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Camp"
,-116.8625,33.2675,7/1/1993,4446, Daytime sighting by hiker on La Jolla Indian Reservation.
,-122.2703,41.21361,6/1/2001,4630, Afternoon sighting by hiker outside Dunsmuir
,-120.2653,39.3225,5/9/1905,4946, Teenager has daytime sighting near Truckee
,-121.6156,40.92911,6/16/1905,6429, Woman recalls a nighttime sighting on Hwy. 299 near Burney
,-123.4817,39.68833,6/9/1905,6521, Woman hears late night scream and has close encounter near Laytonville
,-120.0133,38.85556,7/1/2003,6639, Couple have night sighting near Lake Tahoe
,-119.9833,38.93333,1/1/1983,6746, Man has sighting after massive landslide on Highway 50
,-123.8692,40.26639,8/1/1963,6961, Teen has daytime sighting near Myers Flat
,-123.8692,40.26639,7/1/1965,6963, Teens have unusual experience near Myers Flat
,-121.495,36.2485,April 93/95,7334, Daytime sightings by Forest Service employee near Arroyo Seco
,-122.3775,40.8875,8/1/1977,7555, Two Young Fishermen Have Mid-day Encounter at Lake Shasta
,-122.1781,39.92778,October 72-73,7731, Hunting Partners Have Early Morning Roadway Sighting
,-121.0161,39.26361,1/1/2004,7804, Family has two late night sightings near Nevada City
,-123.4817,39.68833,9/1/1974,7860, Hunter has daytime sighting near Dos Rios
,-123.7675,39.22361,8/1/1966,8059, Teenagers have sighting of two creatures near Albion
,-118.972,37.5703,9/1/1972,8487, Hiking boy has close encounter in High Sierra
,-120.5836,38.72139,6/25/1905,8595, Man has early morning sighting near Sly Park
,-121.58,39.205,7/1/1965,9202, Man remembers childhood daytime sighting along the Feather River
,-124,40.465,7/1/1992,9283, Early morning sighting by motorist along the Eel River
,-119.2119,37.23389,10/1/2001,9296, Hunter has daytime sighting near Huntington Lake
,-118.7402,36.0438,5/1/2000,9357, Workers have daytime sighting on Tule River Indian Reservation
,-120.3275,39.31917,8/1/2004,9555, Retired Law Enforcement Officer Has Daytime Sighting
,-120.2434,38.0312,12/1/2003,10980, Man has late night sighting near Twain Harte
,-121.7,37,1998-2004,11162, Family has sightings and encounters in Santa Cruz mountains
,-122.1667,40.75,1970  1990,11496," Lady has two Northern California sightings, over a 20year period."
,-123.55,40.85,10/1/1988,11576, Woman has close up night sighting in car lights on Highway 299
,-120.6033,38.90333,6/26/1905,11656, Couple Has Early Evening Encounter Near Stumpy Meadow Reservoir
,-120.201,36.7818,6/1/1991,11897, Three young adults encounter large aggressive biped while fishing the San Joaquin River
,-122.278,40.7974,6/23/1905,11986, Daylight sighting by guide and two tourists at Lake Shasta Caverns
,-121.2919,35.5565,4/1/1974,12247, Two teenage girls have daytime encounter on Big Sur Coast
,-121.7146,36.3779,6/1/1986,12292, Daylight sighting by hikers in Ventana Wilderness
,-123.35,41.75,3/1/1967,12294, Daylight sighting near Happy Camp
,-119.5483,38.3068,8/1/2005,12383, Hiking family has daytime encounter in Sierra
,-121.0517,39.25396,9/1/1987,12649, Man recalls daytime sighting in a canyon outside Nevada City
,-123.85,41.65,1/1/1979,12917, Vehicle passenger's daylight sighting near Hiouchi
,-123.2718,40.7485,9/1/2003,13419, Firefighter describes multiple-witness sighting during the Loma Fire
,-123.35,41.75,12/1/1993,13424, Trail bike rider describes being briefly chased at night near Happy Camp
,-121.4871,37.39555,2/12/1905,14338, Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the
,-120.3784,39.50435,9/1/1993,14407, Daylight sighting by camper 7-8 northwest of Independence Lake
,-122.8055,40.6789,8/1/1982,14642, Evening road crossing sighting near Lewiston (Hwy 299)
,-120.2201,38.86165,8/1/2005,15821, Backpacker's moonlit encounter near the trail from Wright's Lake to Enchanted Pools
,-118.9166,37.58325,6/1/2006,15855, Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area
,-124.0687,41.21385,10/1/2006,16342, Possible sighting by motorist beside Highway 101 between Orick and Trinidad
,-122.6667,40.7333,6/1/1991,18298," Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta"
,-121.7138,38.4906,10/1/1980,20197, Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains
,-123.1668,41.8333,8/1/2005,21354, Multi-witness road-crossing sighting on Hwy 96 outside Happy Camp
,-118.4333,34.6167,5/1/1980,21674, Man describes incident in teen years
,-123.056,41.28996,8/1/1998,22434, Backpacker sighting off the PCT in the Marble Mountains Wilderness
,-123.2393,39.83929,12/1/2007,22500, Paranormal investigator describes encounter near Covelo
,-119,37.9333,5/1/1991,23768," Brief, blurry video footage of a possible sasquatch at Mono Lake"
,-123.3899,39.51489,7/1/2008,24146, Man Has Face to Face Encounter Outside of Willits
,-119.7853,38.33115,8/1/1993,24574, Man remembers seeing an animal move through a ravine near Yosemite
,-119.2916,34.625,8/1/1964,24648," Man retells his close, visual encounter at dawn on Pine Mountain as a young deer hunter"
,-116.5333,33.95002,5/1/1979,24936, Man remembers observing a large creature in a desert setting as he left his residence north of Palm Springs
,-118.375,36.70835,8/1/2007,24938, Daylight sighting by backpacker near Pacific Crest Trail west of Independence observes two creatures during
,-121.07,37.475,8/1/1962,25009," Youngsters encounter large, grey creature in a sugar beet field"
,-123.0585,38.83996,9/1/2007,25260, Nighttime sighting (in headlights) by law enforcement officer on patrol near Cloverdale
,-118.125,36.79165,December 1975-76,25266, Two men recall a nighttime face to face encounter on lonely Hwy. 395
,-119.9254,34.73389,4/1/1982,25444, High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest
,-123.1749,41.98645,6/1/2009,26116, Man has close encounter near Oregon border
,-120.2083,38.79998,7/1/2009,26258, Nightime sighting by a couple along a main highway between South Lake Tahoe and Placerville
,-121.18,39.705,9/1/1993,26850, Forestry Worker Observes a Sasquatch in Clear-Cut Near Feather River
,-118.5834,34.76666,6/15/1905,27177, Man remembers sighting while driving on a lonely dark two-lane road near Gorman 
,-123.4498,41.65925,4/1/2010,27609, Daughter and Mother both observe a large dark creature in the Klamath River bottom
,-121,38.25,10/1/2010,28432, Motorists have sighting along Highway 88 north of Clements
,-122.575,41.845,12/1/2011,32654," Family has sighting while driving along Hwy 96 near Yreka, CA "
,-119.6234,38.51665,9/1/2012,39181, Deer hunter has sighting in Sierra Nevada Mtns south of Markleeville
,-114.4419,50.4023,11/1/1995,211," Daylight sighting by a hunter east of Alberta Hwy 22, near Hwy 532 "
,-114.2347,50.0865,11/1/2003,9876, Sighting by hunters south of Longview
,-114.3957,55.26332,2/1/1976,10775, Nighttime sighting by motorist at the Saulteaux River
,-114.1397,53.62819,4/1/2005,12001," Daylight sighting by motorist outside Edmonton, on Highway 16 near Stony Plain"
,-115.8742,52.51666,6/1/1998,12647, Sighting by camper at Camp Alexo near Nordegg
,-117.1638,56.12543,9/1/1975,17290,  Woman describes close encounter when she was 18 near Peace River
,-113.0987,53.92005,6/1/1997,27043, Man recalls disturbing two sleeping creatures lying on a road near Redwater
,-114.0243,49.01115,6/1/2011,43598, Early morning sighting through binoculars while bird watching in Waterton National Park
,-116.0426,50.84333,3/1/2001,2113, Daylight sighting by motorist on Hwy 93 about 20 miles east of Radium
,-121.3177,49.3402,9/1/1999,3899," Camper witnesses animal on two legs climbing up gully east of Hope, south of Hwy 3, near Nicolum Creek"
,-119.665,53.08,8/1/2002,4900, Eight-foot bipedal animal seen crossing road near Tete Jaune Cache
,-121.3324,56.3321,10/1/1965,5172, Multi-witness road-crossing sighting outside Fort St.John
,-122.1751,50.80041,12/1/2002,6831, Night time sighting by motorist on Highway 40 between Gold Bridge and Lillooet
,-123.12,59.61,4/1/1987,10001, Motorists have daylight sighting near Fort Liard.
,-123.2054,49.94374,2/1/2005,10633, Daylight sighting by hikers in the Checakmus area
,-123.94,49.54,3/1/2005,10878, Road crossing sighting outside Halfmoon Bay
,-123.8562,49.51069,6/1/2005,11915, Night time sightings outside Duncan; Other incidents mentioned.
,-120.4736,53.59444,8/1/2005,12451, Motorhome driver reports sighting around 7am near Jasper
,-122.0064,54.23708,9/1/1977,13232, Daylight sighting near Prince George
,-121.3976,49.62125,6/1/2005,13371, Early morning sighting by a trucker on Othello Road.
,-119.8664,49.09555,1/1/2006,13464, BC family sees a possible family group of sasquatch
,-122.1171,49.4068,1984/85,13642, Early morning sighting by 10 year old child in a backyard tent in the Lower Fraser Valley
,-121.525,49.175,3/1/1934,14328," Old newspaper article (Lima, Ohio) about encounters near Harrison Mills"
,-121.94,49.24,4/1/1934,14329, Old newspaper article (Fresno Bee) Univ. Calif. students plan expedition to BC
,-117.8504,49.28569,12/1/1980,14511, Sighting by snowmobilers outside Castlegar
,-118.398,51.05747,7/1/1985,15085, Morning road-crossing sighting by motorist near Revelstoke
,-124.2872,48.83319,6/1/2006,15274, Early morning sighting on Vancouver Island near Cowichan Lake
,-123.6171,48.56704,November 2006-2007,17331, Possible sighting at a farm outside Victoria (Vancouver Island)
,-125.3675,49.26528,3/1/2007,18534, Daylight sighting by motorist on Hwy 4 near Kennedy Lake
,-122.6089,49.0922,87 or 88,20415, Man describes his childhood observation in daylight on a farm outside Langley
,-119.8076,49.73385,7/1/1974,21563, Childhood Sighting Near a House in the Okanagan
,-115.5743,50.29765,9/1/2007,23245, Resting elk hunter smells and sees a sasquatch near Whiteswan Lake
,-123.3647,48.35765,5/1/1974,24564, Woman recalls multiple witness daylight sighting on Shawnigan Lake
,-118.188,50.58304,8/1/1978,24806, Motorists recount incident on the side of a highway near the BC-Alberta border
,-127.735,50.8604,10/1/1992,26050, Memory told of an inquisitive sasquatch sighted near Port Hardy
,-124.6929,49.4085,8/1/1987,26765, Man recalls seeing a sasquatch near Little Qualicum Falls on Vancouver Island
,-116.5133,49.41289,1970 to current,28740," Man recollects multiple encounters from 1970 to present near Kootenay, Chadsey & Davis Lakes"
,-117.9636,49.20805,September about 1969,34822, Memory told of a nighttime sighting while traveling on a mountainside near Rossland
,-98.03333,50.25,4/1/1981,2404, Girl celebrating her birthday has encounter with upright animal walking through yard
,-96.17149,50.5697,9/1/1976,8576, Man recalls seeing a sasquatch in the early evening near Great Falls
,-99.11815,52.9884,9/1/1990,12335, Daylight sighitng by motorist on Hwy 6 near Easterville
,-97.595,54.245,4/1/2005,12908," Daylight sighting by ferry operator at Nelson River crossing, north of Norway House."
,-100.9129,50.91725,mid 1960's,21795, Childhood incidents in Manitoba
,-101.274,53.99,5/1/2007,35177, Tall manlike creature seen while on a family outing near The Pas
,-67.05334,45.6746,7/1/2002,15343, Daytime sighting by motorist close to Maine/New Brunswick border
,-64.4627,45.98335,6/1/2006,17221, Motorists Observe Creature Along Trans-Canada Highway
,-79.5985,43.2114,8/1/1978,1615, Motorists have nighttime sighting near Grimsby.
,-79.1338,45.01904,7/1/1981,5873, Man describes childhood sighting at a cabin in Ufford County
,-79.76308,44.86073,5/21/1905,9516, Woman recalls childhood sighting outside a cottage in the Southern Georgian Bay area.
,-81.00553,49.16669,10/1/1992,10611," Night time sighting by policeman on the Trans-Canada Hwy, ~100 miles west of Cochrane."
,-93.88194,51.03445,10/1/1990,13267, Morning encounter with a moose hunter in northern Ontario
,-80.60942,43.62427,12/1/2004,13627, Pre-dawn road crossing sighting by trucker 40 miles west of Toronto
,-79.94618,48.03027,10/1/2006,16807, Afternoon sighting by couple on Highway 11 outside Latchford
,-75.63184,44.53995,12/1/2006,16853, Roadside sighting by a father and son north of Brockville
,-92.04907,48.36266,September 1993-94,18077, Morning daylight encounter with grouse hunter on Indian Island 45 km east of Fort Francis
,-94.02934,49.40276,8/1/2006,20408, Daylight sighting close to tourist cabins near Sioux Narrows
,-93.47855,48.60385,6/29/1905,22821, Daylight sighting by emergency services worker driving on Hwy 11 just outside Fort Frances
,-94.5176,52.6752,7/1/1986,23134, Fishing Guide has sighting while trolling Deer Lake
,-79.81129,48.51035,9/1/2006,23171, Forest Growth and Yield Tech has strange encounter while working in forest
,-76.4198,44.61615,8/1/2008,24733, Daytime sighting behind a cabin near Westport
,-80.02915,44.15255,5/1/1990,25857, Nightime roadside encounter near Orangeville
,-80.66389,44.30352,6/1/1964,31992, Man recalls his nighttime roadside sighting near Markdale
,-134.4837,60.36933,8/1/1978,13061, Man recalls his daylight sighting as a young fisherman on the Yukon River
,-135.1155,60.69976,8/1/1992,16779, Man recalls close encounter while on afternoon walk near Whitehorse
,-105.4979,37.57915,8/1/2000,348, Teen and uncle chase reddish bigfoot in San Isabel National Forest
,-105.8199,39.67095,8/1/2000,408, Daylight sighting by hikers in the Loveland Pass area (Cont. Div.)
,-107.0153,39.1084,8/1/2000,470, Late night sighting by backpacker near Crater Lake
,-105.9583,40.79166,5/24/1905,513, Future doctor sees giant tracks high in Rawah wilderness
,-105.1058,38.8922,September 1998-1999,819, Sightings by hunting guide in Pike National Forest 
,-105.0652,39.21338,9/1/1998,880, Rockhound startled to find he's being observed
,-107.8833,38.49833,5/1/1977,1075, Teens fire at big black thing peeking in window of home
,-106.4917,37.30833,6/1/1994,1351," Various sightings by campers and ranchers along Lake Fork, a tributary of the Conejos River. "
,-106.5123,37.32255,7/1/1997,1352," Daylight sighting by hikers near Lake Fork, off the Conejos River. "
,-104.9677,39.42923,9/1/1997,1354, Sighting by a motorist
,-106.8085,39.6632,4/1/2000,1355," BFRO Investigator, Keith Foster's evaluation of tracks found on the south shore of the Eagle River. App. 1 mi"
,-104.9743,38.8993,11/1/1997,1359, Multi-witness account of an observation of a strange creature on a ridge
,-104.9908,38.54166,4/1/1998,1361, Twenty-two inch tracks found
,-106.4269,39.18975,10/1/1994,1363, strange loud howls heard by retired wildlife biologist on a camping trip. 
,-106.3833,39.26944,5/28/1905,1366, huge human-like handprint found on top of a vandalized sign. 
